['cotacaoCompra', 'cotacaoVenda', 'dataHoraCotacao']
5.162;5.1626;2021-01-04
5.3263;5.3269;2021-01-05
5.3176;5.3182;2021-01-06
5.3427;5.3433;2021-01-07
5.3677;5.3683;2021-01-08
5.496;5.4966;2021-01-11
5.4631;5.4637;2021-01-12
5.3064;5.307;2021-01-13
5.2611;5.2617;2021-01-14
5.2708;5.2714;2021-01-15
5.2782;5.2788;2021-01-18
5.2939;5.2945;2021-01-19
5.3027;5.3033;2021-01-20
5.316;5.3166;2021-01-21
5.4295;5.4301;2021-01-22
5.5074;5.5089;2021-01-25
5.3859;5.3865;2021-01-26
5.3818;5.3824;2021-01-27
5.4276;5.4282;2021-01-28
5.4753;5.4759;2021-01-29
5.4602;5.4608;2021-02-01
5.3869;5.3875;2021-02-02
5.3417;5.3423;2021-02-03
5.3904;5.391;2021-02-04
5.3878;5.3884;2021-02-05
5.3664;5.367;2021-02-08
5.421;5.4216;2021-02-09
5.4018;5.4024;2021-02-10
5.362;5.3626;2021-02-11
5.3809;5.3815;2021-02-12
5.4132;5.4138;2021-02-17
5.4232;5.4238;2021-02-18
5.3918;5.3924;2021-02-19
5.5038;5.5044;2021-02-22
5.4484;5.449;2021-02-23
5.4176;5.4182;2021-02-24
5.4594;5.46;2021-02-25
5.5296;5.5302;2021-02-26
5.5826;5.5832;2021-03-01
5.6838;5.6844;2021-03-02
5.7336;5.7342;2021-03-03
5.6002;5.6008;2021-03-04
5.6864;5.687;2021-03-05
5.7337;5.7343;2021-03-08
5.8391;5.8397;2021-03-09
5.7443;5.7449;2021-03-10
5.5884;5.589;2021-03-11
5.5634;5.564;2021-03-12
5.629;5.6296;2021-03-15
5.5845;5.5851;2021-03-16
5.6573;5.6579;2021-03-17
5.5468;5.5474;2021-03-18
5.5076;5.5082;2021-03-19
5.5263;5.5269;2021-03-22
5.4945;5.4951;2021-03-23
5.5324;5.533;2021-03-24
5.6579;5.6585;2021-03-25
5.7036;5.7042;2021-03-26
5.7919;5.7925;2021-03-29
5.7636;5.7642;2021-03-30
5.6967;5.6973;2021-03-31
5.6843;5.6849;2021-04-01
5.6573;5.6579;2021-04-05
5.6257;5.6263;2021-04-06
5.5858;5.5864;2021-04-07
5.5811;5.5817;2021-04-08
5.6439;5.6445;2021-04-09
5.6576;5.6582;2021-04-12
5.7058;5.7064;2021-04-13
5.693;5.6936;2021-04-14
5.6228;5.6234;2021-04-15
5.6322;5.6328;2021-04-16
5.5744;5.575;2021-04-19
5.526;5.5266;2021-04-20
5.4964;5.497;2021-04-22
5.4781;5.4787;2021-04-23
5.456;5.4566;2021-04-26
5.4418;5.4424;2021-04-27
5.3999;5.4005;2021-04-28
5.3656;5.3662;2021-04-29
5.403;5.4036;2021-04-30
5.4081;5.4087;2021-05-03
5.4499;5.4505;2021-05-04
5.3866;5.3872;2021-05-05
5.2891;5.2897;2021-05-06
5.2211;5.2217;2021-05-07
5.2221;5.2227;2021-05-10
5.2397;5.2403;2021-05-11
5.2347;5.2353;2021-05-12
5.2809;5.2815;2021-05-13
5.2695;5.2701;2021-05-14
5.2749;5.2755;2021-05-17
5.2582;5.2588;2021-05-18
5.2816;5.2822;2021-05-19
5.2899;5.2905;2021-05-20
5.3021;5.3027;2021-05-21
5.3192;5.3198;2021-05-24
5.3137;5.3143;2021-05-25
5.3158;5.3164;2021-05-26
5.2833;5.284;2021-05-27
5.2274;5.2281;2021-05-28
5.2316;5.2322;2021-05-31
5.163;5.1636;2021-06-01
5.114;5.1147;2021-06-02
5.0661;5.0666;2021-06-04
5.0492;5.0498;2021-06-07
5.0483;5.0489;2021-06-08
5.0527;5.0533;2021-06-09
